"Var1" "Var2" "value" "n"
"CH.dysplasia" "HS" NA 16
"CH.metaplasia" "HS" NA 16
"CH.pancreatitis" "HS" 0.445012431841265 16
"CH.atrophy" "HS" -0.365692875735343 16
"CH.fibrosis" "HS" 0.0665068570897668 16
"CH.CD3" "HS" -0.169791364179318 16
"CH.Ki67" "HS" 0.11983572236239 9
"CH.islet.freq" "HS" NA 5
"CH.islet.size" "HS" NA 4
"CR.age" "HS" 0.399043924793145 16
"CR.height" "HS" -0.0853648358450976 16
"CR.weight" "HS" -0.150257612733789 16
"CR.BMI" "HS" -0.230406800877296 16
"CR.dbDuration" "HS" -0.118696591906945 8
"CR.ageOnset" "HS" 0.265116126259823 8
"CR.Cpeptide" "HS" 0.232477737461661 15
"CR.HbA1c" "HS" -0.430048854162223 3
"CR.peakGluc" "HS" -0.567348155495751 14
"HS" "Col18" 0.846818870426928 14
"Col18" "Col18" 1 14
"Sdc1" "Col18" 0.633795402594873 9
"Ins_x1" "Col18" 0.661377809778311 14
"Gcg_x1" "Col18" -0.2729566731816 11
"IP3R2" "Col18" NA 0
"TOM20" "Col18" NA 0
"MFN2" "Col18" NA 0
"VDAC1" "Col18" NA 0
"IP3R2.VDAC1" "Col18" NA 0
"beta_Ins" "Col18" 0.818627263479089 4
"beta_cells" "Col18" 0.730696879756689 8
"beta_area" "Col18" 0.351874140637341 8
"beta_mass" "Col18" 0.215211018655596 6
"Nitrotyrosine" "Col18" -0.457178904757951 5
"GLP1R.acinar_x1" "Col18" NA 0
"GLP1R.islets_x1" "Col18" NA 0
"GLP1R.acinar_x2" "Col18" NA 0
"GLP1R.islets_x2" "Col18" NA 0
"HLA.A1" "Col18" -0.0475270710823381 7
"HLA.A2" "Col18" 0.214141014509546 7
"HLA.A3" "Col18" 0.214141014509546 7
"HLA.A4" "Col18" 0.391709618975902 7
"HLA.A5" "Col18" 0.523262755079119 7
"HLA.A6" "Col18" 0.350253751059264 7
"HLA.A7" "Col18" 0.519772642605384 7
"HLA.A8" "Col18" 0.34773852911163 7
"HLA.B1" "Col18" 0.1316932607128 7
"HLA.B2" "Col18" -0.101293471517272 7
"HLA.B3" "Col18" -0.0310858640775066 7
"HLA.B4" "Col18" -0.0389445159507329 7
"HLA.B5" "Col18" -0.099737115180593 7
"HLA.B6" "Col18" 0.0515074361692423 7
"HLA.C1" "Col18" -0.184174483124761 7
"HLA.C2" "Col18" -0.138014497978586 7
"HLA.C3" "Col18" 0.118195812882723 7
"HLA.C4" "Col18" -0.11774728751779 7
"HLA.C5" "Col18" -0.0708490366353749 7
"HLA.C6" "Col18" 0.11497848571614 7
"HLA.C7" "Col18" 0.194740669882148 7
"HLA.F1" "Col18" 0.267629606335875 7
"HLA.F2" "Col18" 0.232479410734808 7
"HLA.F3" "Col18" 0.128649711213894 7
"HLA.F4" "Col18" 0.128649711213894 7
"HLA.F5" "Col18" -0.0391542332248171 7
"HLA.F6" "Col18" 0.128649711213894 7
"HLA.F7" "Col18" -0.627292117639391 7
"B2M" "Col18" 0.103347892484212 7
"STAT1" "Col18" 0.0161301816777987 7
"IHC.score" "Col18" -0.735185617383266 7
"ICI.score" "Col18" 0.500259086888781 7
"GAD65" "Col18" 0.701494136126991 3
"CD20_x1" "Col18" NA 1
"CyclinD1" "Col18" 0.57368465617555 3
"CyclinD3" "Col18" 0.682060084949297 4
"n_leucocytes" "Col18" 0.0639881005113265 4
"n_leucocytes2" "Col18" 0.995477528685145 3
"n_islets" "Col18" 0.717202654716947 4
"n_insulitis" "Col18" 0.418083688276475 4
"n_islets2" "Col18" -0.576770816777466 3
"n_insulitis2" "Col18" -0.0708737301023298 3
"x12LO" "Col18" -0.894776868206159 4
"CD20_x2" "Col18" NA 1
"MMc" "Col18" NA 1
"ins.MMc" "Col18" NA 1
"MxA" "Col18" 1 2
"BM" "Col18" NA 1
"insulin" "Col18" 0.764626378093851 3
"insulin2" "Col18" NA 1
"HLA" "Col18" NA 1
"survivin" "Col18" NA 1
"CH.Ins" "Col18" NA 14
"CH.amyloid" "Col18" NA 14
"CH.dysplasia" "Col18" NA 14
"CH.metaplasia" "Col18" NA 14
"CH.pancreatitis" "Col18" 0.352870573922203 14
"CH.atrophy" "Col18" -0.571863300034218 14
"CH.fibrosis" "Col18" 0.0958907336313035 14
"CH.CD3" "Col18" -0.197146108424727 14
"CH.Ki67" "Col18" 0.0661400956415662 8
"CH.islet.freq" "Col18" NA 5
"CH.islet.size" "Col18" NA 4
"CR.age" "Col18" 0.337112825453465 14
"CR.height" "Col18" 0.212500951897094 14
"CR.weight" "Col18" 0.117201786741669 14
"CR.BMI" "Col18" -0.118319712929142 14
"CR.dbDuration" "Col18" 0.146787405557078 6
"CR.ageOnset" "Col18" 0.416967582843564 6
"CR.Cpeptide" "Col18" 0.283229766929781 14
"CR.HbA1c" "Col18" 0.912886392368335 3
"CR.peakGluc" "Col18" -0.647185319171638 12
"HS" "Sdc1" 0.733209660364525 9
"Col18" "Sdc1" 0.633795402594873 9
"Sdc1" "Sdc1" 1 9
"Ins_x1" "Sdc1" 0.412722427333669 9
"Gcg_x1" "Sdc1" -0.436646880085881 7
"IP3R2" "Sdc1" NA 0
"TOM20" "Sdc1" NA 0
"MFN2" "Sdc1" NA 0
"VDAC1" "Sdc1" NA 0
"IP3R2.VDAC1" "Sdc1" NA 0
"beta_Ins" "Sdc1" 0.389228953785302 4
"beta_cells" "Sdc1" 0.701506189082281 7
"beta_area" "Sdc1" 0.982000510739397 7
"beta_mass" "Sdc1" 0.956230358656227 5
"Nitrotyrosine" "Sdc1" -0.864270992621062 4
"GLP1R.acinar_x1" "Sdc1" NA 0
"GLP1R.islets_x1" "Sdc1" NA 0
"GLP1R.acinar_x2" "Sdc1" NA 0
"GLP1R.islets_x2" "Sdc1" NA 0
"HLA.A1" "Sdc1" -0.255788343278719 5
"HLA.A2" "Sdc1" 0.0545953496870099 5
"HLA.A3" "Sdc1" 0.0545953496870099 5
"HLA.A4" "Sdc1" -0.105426244344506 5
"HLA.A5" "Sdc1" 0.351902792015711 5
"HLA.A6" "Sdc1" -0.00305993515824471 5
"HLA.A7" "Sdc1" -0.0902305686652681 5
"HLA.A8" "Sdc1" 0.0241792455593875 5
"HLA.B1" "Sdc1" -0.0453479743937176 5
"HLA.B2" "Sdc1" -0.373269718077652 5
"HLA.B3" "Sdc1" 0.379236903710518 5
"HLA.B4" "Sdc1" -0.0269287134547772 5
"HLA.B5" "Sdc1" 0.291948457298908 5
"HLA.B6" "Sdc1" 0.406936704885047 5
"HLA.C1" "Sdc1" 0.38101397010819 5
"HLA.C2" "Sdc1" 0.477957237487132 5
"HLA.C3" "Sdc1" 0.542643640624187 5
"HLA.C4" "Sdc1" -0.445051912083052 5
"HLA.C5" "Sdc1" -0.192642652629184 5
"HLA.C6" "Sdc1" 0.529751370737283 5
"HLA.C7" "Sdc1" 0.490360412616222 5
"HLA.F1" "Sdc1" 0.649196948871885 5
"HLA.F2" "Sdc1" 0.787355728060088 5
"HLA.F3" "Sdc1" 0.527004837386185 5
"HLA.F4" "Sdc1" 0.527004837386185 5
"HLA.F5" "Sdc1" 0.392599650257652 5
"HLA.F6" "Sdc1" 0.527004837386185 5
"HLA.F7" "Sdc1" 0.0988057621170266 5
"B2M" "Sdc1" 0.267544300714174 5
"STAT1" "Sdc1" 0.30437466087809 5
"IHC.score" "Sdc1" -0.88140662595926 5
"ICI.score" "Sdc1" 0.139975106863852 5
"GAD65" "Sdc1" 0.412746578976961 3
"CD20_x1" "Sdc1" NA 1
"CyclinD1" "Sdc1" 1 2
"CyclinD3" "Sdc1" 0.935816167416856 3
"n_leucocytes" "Sdc1" 0.223700194948992 4
"n_leucocytes2" "Sdc1" 0.382495939270007 3
"n_islets" "Sdc1" 0.609223810552953 4
"n_insulitis" "Sdc1" 0.523853779858421 4
"n_islets2" "Sdc1" 0.451449551484446 3
"n_insulitis2" "Sdc1" 0.848013771757793 3
"x12LO" "Sdc1" -0.852633151142427 4
"CD20_x2" "Sdc1" NA 1
"MMc" "Sdc1" NA 1
"ins.MMc" "Sdc1" NA 1
"MxA" "Sdc1" 1 2
"BM" "Sdc1" NA 1
"insulin" "Sdc1" 1 2
"insulin2" "Sdc1" NA 1
"HLA" "Sdc1" NA 1
"survivin" "Sdc1" NA 1
"CH.Ins" "Sdc1" NA 9
"CH.amyloid" "Sdc1" NA 9
"CH.dysplasia" "Sdc1" NA 9
"CH.metaplasia" "Sdc1" NA 9
"CH.pancreatitis" "Sdc1" 0.0789223315891455 9
"CH.atrophy" "Sdc1" -0.669391329746153 9
"CH.fibrosis" "Sdc1" NA 9
"CH.CD3" "Sdc1" 0.1456342233035 9
"CH.Ki67" "Sdc1" 0.439472486631872 6
"CH.islet.freq" "Sdc1" NA 4
"CH.islet.size" "Sdc1" NA 3
"CR.age" "Sdc1" -0.127782041284143 9
"CR.height" "Sdc1" -0.118315254870511 9
"CR.weight" "Sdc1" -0.424864611510303 9
"CR.BMI" "Sdc1" -0.745742985958511 9
"CR.dbDuration" "Sdc1" -0.80437268902064 5
"CR.ageOnset" "Sdc1" -0.345150800894935 5
"CR.Cpeptide" "Sdc1" 0.784702811803462 9
"CR.HbA1c" "Sdc1" NA 0
"CR.peakGluc" "Sdc1" -0.767289010037833 8
"HS" "Ins_x1" 0.449428339088159 16
"Col18" "Ins_x1" 0.661377809778311 14
"Sdc1" "Ins_x1" 0.412722427333669 9
"Ins_x1" "Ins_x1" 1 16
"Gcg_x1" "Ins_x1" 0.106256831599657 13
"IP3R2" "Ins_x1" NA 0
"TOM20" "Ins_x1" NA 0
"MFN2" "Ins_x1" NA 0
"VDAC1" "Ins_x1" NA 0
"IP3R2.VDAC1" "Ins_x1" NA 0
"beta_Ins" "Ins_x1" 0.290314251626984 6
"beta_cells" "Ins_x1" 0.288868723556596 10
"beta_area" "Ins_x1" -0.25951047232886 10
"beta_mass" "Ins_x1" -0.448680376956181 8
"Nitrotyrosine" "Ins_x1" -0.758827779199957 5
"GLP1R.acinar_x1" "Ins_x1" NA 0
"GLP1R.islets_x1" "Ins_x1" NA 0
"GLP1R.acinar_x2" "Ins_x1" NA 0
"GLP1R.islets_x2" "Ins_x1" NA 0
"HLA.A1" "Ins_x1" -0.22529695775696 9
"HLA.A2" "Ins_x1" 0.0645445167856584 9
"HLA.A3" "Ins_x1" 0.0645445167856584 9
"HLA.A4" "Ins_x1" 0.0602376520136256 9
"HLA.A5" "Ins_x1" 0.155506648607023 9
"HLA.A6" "Ins_x1" 0.0937857426409983 9
"HLA.A7" "Ins_x1" 0.015025289191932 9
"HLA.A8" "Ins_x1" -0.119802442148779 9
"HLA.B1" "Ins_x1" 0.496353005725524 9
"HLA.B2" "Ins_x1" -0.0490499399405207 9
"HLA.B3" "Ins_x1" 0.330852867506523 9
"HLA.B4" "Ins_x1" 0.018857810785571 9
"HLA.B5" "Ins_x1" 0.364407632359923 9
"HLA.B6" "Ins_x1" 0.347821451227228 9
"HLA.C1" "Ins_x1" -0.200082552434372 9
"HLA.C2" "Ins_x1" -0.234838414067361 9
"HLA.C3" "Ins_x1" 0.371533561944604 9
"HLA.C4" "Ins_x1" 0.461153440713709 9
"HLA.C5" "Ins_x1" 0.0521766824492806 9
"HLA.C6" "Ins_x1" 0.307575918217953 9
"HLA.C7" "Ins_x1" 0.334973911932149 9
"HLA.F1" "Ins_x1" 0.0798340028250495 9
"HLA.F2" "Ins_x1" 0.2550664830494 9
"HLA.F3" "Ins_x1" 0.0932099671355864 9
"HLA.F4" "Ins_x1" 0.0932099671355864 9
"HLA.F5" "Ins_x1" 0.123402943281518 9
"HLA.F6" "Ins_x1" 0.0932099671355864 9
"HLA.F7" "Ins_x1" -0.378633110172521 9
"B2M" "Ins_x1" 0.135701932208512 9
"STAT1" "Ins_x1" 0.311267337402652 9
"IHC.score" "Ins_x1" 0.272977998455484 9
"ICI.score" "Ins_x1" -0.655665954825455 9
"GAD65" "Ins_x1" 0.497307195415923 3
"CD20_x1" "Ins_x1" NA 1
"CyclinD1" "Ins_x1" -0.929915250448979 3
"CyclinD3" "Ins_x1" -0.00177658394386536 4
"n_leucocytes" "Ins_x1" 0.793401959093748 5
"n_leucocytes2" "Ins_x1" -0.343004045154035 4
"n_islets" "Ins_x1" -0.542966676051148 5
"n_insulitis" "Ins_x1" 0.0397723653290136 5
"n_islets2" "Ins_x1" -0.202299431924731 4
"n_insulitis2" "Ins_x1" 0.0977157122156322 4
"x12LO" "Ins_x1" -0.75212007093838 5
"CD20_x2" "Ins_x1" 1 2
"MMc" "Ins_x1" 1 2
"ins.MMc" "Ins_x1" 1 2
"MxA" "Ins_x1" 1 2
"BM" "Ins_x1" -1 2
"insulin" "Ins_x1" -0.188045774281824 4
"insulin2" "Ins_x1" NA 2
"HLA" "Ins_x1" NA 2
"survivin" "Ins_x1" NA 2
"CH.Ins" "Ins_x1" NA 16
"CH.amyloid" "Ins_x1" NA 16
"CH.dysplasia" "Ins_x1" NA 16
"CH.metaplasia" "Ins_x1" NA 16
"CH.pancreatitis" "Ins_x1" 0.291063794029937 16
"CH.atrophy" "Ins_x1" -0.537561326038395 16
"CH.fibrosis" "Ins_x1" -0.163605875864949 16
"CH.CD3" "Ins_x1" -0.296103197552568 16
"CH.Ki67" "Ins_x1" -0.0325958205315604 9
"CH.islet.freq" "Ins_x1" NA 5
"CH.islet.size" "Ins_x1" NA 4
"CR.age" "Ins_x1" -0.163185762584161 16
"CR.height" "Ins_x1" -0.146384905813412 16
"CR.weight" "Ins_x1" -0.216958784120232 16
"CR.BMI" "Ins_x1" -0.229567398823358 16
"CR.dbDuration" "Ins_x1" -0.756687150607842 8
"CR.ageOnset" "Ins_x1" -0.352295557136165 8
"CR.Cpeptide" "Ins_x1" -0.0484292043530441 15
"CR.HbA1c" "Ins_x1" 0.993028517053295 3
"CR.peakGluc" "Ins_x1" -0.242069920646618 14
"HS" "Gcg_x1" -0.391482927718044 13
"Col18" "Gcg_x1" -0.2729566731816 11
"Sdc1" "Gcg_x1" -0.436646880085881 7
"Ins_x1" "Gcg_x1" 0.106256831599657 13
"Gcg_x1" "Gcg_x1" 1 13
"IP3R2" "Gcg_x1" NA 0
"TOM20" "Gcg_x1" NA 0
"MFN2" "Gcg_x1" NA 0
"VDAC1" "Gcg_x1" NA 0
"IP3R2.VDAC1" "Gcg_x1" NA 0
"beta_Ins" "Gcg_x1" -0.772302071104493 5
"beta_cells" "Gcg_x1" -0.28825088563466 9
"beta_area" "Gcg_x1" 0.38148276758415 9
"beta_mass" "Gcg_x1" 0.486733098298776 7
"Nitrotyrosine" "Gcg_x1" 0.967900922667684 4
"GLP1R.acinar_x1" "Gcg_x1" NA 0
"GLP1R.islets_x1" "Gcg_x1" NA 0
"GLP1R.acinar_x2" "Gcg_x1" NA 0
"GLP1R.islets_x2" "Gcg_x1" NA 0
"HLA.A1" "Gcg_x1" 0.481681793759389 7
"HLA.A2" "Gcg_x1" -0.0254613979337242 7
"HLA.A3" "Gcg_x1" -0.0254613979337242 7
"HLA.A4" "Gcg_x1" 0.195547685730529 7
"HLA.A5" "Gcg_x1" -0.137200076148657 7
"HLA.A6" "Gcg_x1" 0.21657449426445 7
"HLA.A7" "Gcg_x1" 0.282420997080546 7
"HLA.A8" "Gcg_x1" 0.211505853922489 7
"HLA.B1" "Gcg_x1" -0.33125294919328 7
"HLA.B2" "Gcg_x1" -0.19534409809466 7
"HLA.B3" "Gcg_x1" -0.300942698498811 7
"HLA.B4" "Gcg_x1" -0.689656641635331 7
"HLA.B5" "Gcg_x1" -0.379748212503977 7
"HLA.B6" "Gcg_x1" -0.2358529304021 7
"HLA.C1" "Gcg_x1" -0.290064059377718 7
"HLA.C2" "Gcg_x1" -0.367727173455115 7
"HLA.C3" "Gcg_x1" -0.151164661187384 7
"HLA.C4" "Gcg_x1" 0.421327138060355 7
"HLA.C5" "Gcg_x1" 0.106077288271124 7
"HLA.C6" "Gcg_x1" -0.163773839453608 7
"HLA.C7" "Gcg_x1" -0.150944004257539 7
"HLA.F1" "Gcg_x1" -0.458577122769294 7
"HLA.F2" "Gcg_x1" -0.286496347849123 7
"HLA.F3" "Gcg_x1" -0.492228025304555 7
"HLA.F4" "Gcg_x1" -0.492228025304555 7
"HLA.F5" "Gcg_x1" -0.474411945574583 7
"HLA.F6" "Gcg_x1" -0.492228025304555 7
"HLA.F7" "Gcg_x1" -0.200626229979802 7
"B2M" "Gcg_x1" 0.18917041896416 7
"STAT1" "Gcg_x1" -0.516690728230812 7
"IHC.score" "Gcg_x1" 0.221310194314963 7
"ICI.score" "Gcg_x1" -0.389951770062037 7
"GAD65" "Gcg_x1" NA 1
"CD20_x1" "Gcg_x1" NA 1
"CyclinD1" "Gcg_x1" -0.8615900658335 3
"CyclinD3" "Gcg_x1" -0.492356521364864 3
"n_leucocytes" "Gcg_x1" 0.958434383879697 4
"n_leucocytes2" "Gcg_x1" -0.61323055799424 3
"n_islets" "Gcg_x1" -0.893984577362517 4
"n_insulitis" "Gcg_x1" -0.716574083778337 4
"n_islets2" "Gcg_x1" -0.819759601363846 3
"n_insulitis2" "Gcg_x1" -0.896108968648592 3
"x12LO" "Gcg_x1" NA 4
"CD20_x2" "Gcg_x1" 1 2
"MMc" "Gcg_x1" -1 2
"ins.MMc" "Gcg_x1" -1 2
"MxA" "Gcg_x1" NA 1
"BM" "Gcg_x1" -1 2
"insulin" "Gcg_x1" -0.790148016616205 4
"insulin2" "Gcg_x1" NA 1
"HLA" "Gcg_x1" NA 1
"survivin" "Gcg_x1" NA 1
"CH.Ins" "Gcg_x1" NA 13
"CH.amyloid" "Gcg_x1" NA 13
"CH.dysplasia" "Gcg_x1" NA 13
"CH.metaplasia" "Gcg_x1" NA 13
"CH.pancreatitis" "Gcg_x1" -0.31972905513807 13
"CH.atrophy" "Gcg_x1" 0.124469057067858 13
"CH.fibrosis" "Gcg_x1" 0.598541995951667 13
"CH.CD3" "Gcg_x1" -0.031187763094377 13
"CH.Ki67" "Gcg_x1" 0.205663427406135 7
"CH.islet.freq" "Gcg_x1" NA 4
"CH.islet.size" "Gcg_x1" NA 3
"CR.age" "Gcg_x1" -0.0897977153089747 13
"CR.height" "Gcg_x1" 0.459498456001502 13
"CR.weight" "Gcg_x1" 0.531622727640346 13
"CR.BMI" "Gcg_x1" 0.497651120390742 13
"CR.dbDuration" "Gcg_x1" 0.260209450895535 7
"CR.ageOnset" "Gcg_x1" -0.0894882450687538 7
"CR.Cpeptide" "Gcg_x1" -0.0198411759829889 12
"CR.HbA1c" "Gcg_x1" -1 2
"CR.peakGluc" "Gcg_x1" 0.165819293763155 11
"HS" "IP3R2" NA 0
"Col18" "IP3R2" NA 0
"Sdc1" "IP3R2" NA 0
"Ins_x1" "IP3R2" NA 0
"Gcg_x1" "IP3R2" NA 0
"IP3R2" "IP3R2" 1 21
"TOM20" "IP3R2" -0.523390380526865 19
"MFN2" "IP3R2" 0.462105136504181 20
"VDAC1" "IP3R2" 0.353932245122218 19
"IP3R2.VDAC1" "IP3R2" -0.279125111043149 19
"beta_Ins" "IP3R2" 1 2
"beta_cells" "IP3R2" 0.5145250554145 7
"beta_area" "IP3R2" 0.40436076096766 7
"beta_mass" "IP3R2" -0.254465739266348 5
"Nitrotyrosine" "IP3R2" NA 1
"GLP1R.acinar_x1" "IP3R2" 0.0865948337289702 9
"GLP1R.islets_x1" "IP3R2" 0.213300174799389 9
"GLP1R.acinar_x2" "IP3R2" -0.305877121981986 9
"GLP1R.islets_x2" "IP3R2" -0.086353345697571 9
"HLA.A1" "IP3R2" NA 1
"HLA.A2" "IP3R2" NA 1
"HLA.A3" "IP3R2" NA 1
"HLA.A4" "IP3R2" NA 1
"HLA.A5" "IP3R2" NA 1
"HLA.A6" "IP3R2" NA 1
"HLA.A7" "IP3R2" NA 1
"HLA.A8" "IP3R2" NA 1
"HLA.B1" "IP3R2" NA 1
"HLA.B2" "IP3R2" NA 1
"HLA.B3" "IP3R2" NA 1
"HLA.B4" "IP3R2" NA 1
"HLA.B5" "IP3R2" NA 1
"HLA.B6" "IP3R2" NA 1
"HLA.C1" "IP3R2" NA 1
"HLA.C2" "IP3R2" NA 1
"HLA.C3" "IP3R2" NA 1
"HLA.C4" "IP3R2" NA 1
"HLA.C5" "IP3R2" NA 1
"HLA.C6" "IP3R2" NA 1
"HLA.C7" "IP3R2" NA 1
"HLA.F1" "IP3R2" NA 1
"HLA.F2" "IP3R2" NA 1
"HLA.F3" "IP3R2" NA 1
"HLA.F4" "IP3R2" NA 1
"HLA.F5" "IP3R2" NA 1
"HLA.F6" "IP3R2" NA 1
"HLA.F7" "IP3R2" NA 1
"B2M" "IP3R2" NA 1
"STAT1" "IP3R2" NA 1
"IHC.score" "IP3R2" NA 1
"ICI.score" "IP3R2" NA 1
"GAD65" "IP3R2" NA 0
"CD20_x1" "IP3R2" NA 0
"CyclinD1" "IP3R2" NA 1
"CyclinD3" "IP3R2" NA 1
"n_leucocytes" "IP3R2" NA 1
"n_leucocytes2" "IP3R2" NA 0
"n_islets" "IP3R2" NA 1
"n_insulitis" "IP3R2" NA 1
"n_islets2" "IP3R2" NA 0
"n_insulitis2" "IP3R2" NA 0
"x12LO" "IP3R2" -0.336197510348402 7
"CD20_x2" "IP3R2" NA 0
"MMc" "IP3R2" NA 0
"ins.MMc" "IP3R2" NA 0
"MxA" "IP3R2" NA 0
"BM" "IP3R2" NA 1
"insulin" "IP3R2" -0.550133145478514 6
"insulin2" "IP3R2" NA 1
"HLA" "IP3R2" NA 1
"survivin" "IP3R2" NA 1
"CH.Ins" "IP3R2" NA 21
"CH.amyloid" "IP3R2" 0.308204250591676 21
"CH.dysplasia" "IP3R2" NA 21
"CH.metaplasia" "IP3R2" -0.235687768695607 21
"CH.pancreatitis" "IP3R2" -0.189148071304401 21
"CH.atrophy" "IP3R2" 0.175290114889514 21
"CH.fibrosis" "IP3R2" 0.213538730154682 21
"CH.CD3" "IP3R2" 0.174023293179557 21
"CH.Ki67" "IP3R2" -0.311774853736207 10
"CH.islet.freq" "IP3R2" NA 15
"CH.islet.size" "IP3R2" NA 8
"CR.age" "IP3R2" -0.0846550963043082 21
"CR.height" "IP3R2" -0.244406554742037 21
"CR.weight" "IP3R2" 0.0546076792213954 21
"CR.BMI" "IP3R2" 0.196320816779903 21
"CR.dbDuration" "IP3R2" -0.316220587903047 10
"CR.ageOnset" "IP3R2" 0.26094844759056 10
"CR.Cpeptide" "IP3R2" -0.426961396434198 21
"CR.HbA1c" "IP3R2" -0.0602295643990016 4
"CR.peakGluc" "IP3R2" 0.412167949286146 21
"HS" "TOM20" NA 0
"Col18" "TOM20" NA 0
"Sdc1" "TOM20" NA 0
"Ins_x1" "TOM20" NA 0
"Gcg_x1" "TOM20" NA 0
"IP3R2" "TOM20" -0.523390380526865 19
"TOM20" "TOM20" 1 19
"MFN2" "TOM20" -0.291458599692274 18
"VDAC1" "TOM20" -0.0977004010990633 17
"IP3R2.VDAC1" "TOM20" 0.487605267185868 17
"beta_Ins" "TOM20" -1 2
"beta_cells" "TOM20" -0.213682554785283 6
"beta_area" "TOM20" -0.346415415970953 6
"beta_mass" "TOM20" -0.51600431362651 5
"Nitrotyrosine" "TOM20" NA 1
"GLP1R.acinar_x1" "TOM20" 0.0704454494069279 9
"GLP1R.islets_x1" "TOM20" -0.0197383300447195 9
"GLP1R.acinar_x2" "TOM20" 0.460808575074232 9
"GLP1R.islets_x2" "TOM20" 0.216163782840738 9
"HLA.A1" "TOM20" NA 1
"HLA.A2" "TOM20" NA 1
"HLA.A3" "TOM20" NA 1
"HLA.A4" "TOM20" NA 1
"HLA.A5" "TOM20" NA 1
"HLA.A6" "TOM20" NA 1
"HLA.A7" "TOM20" NA 1
"HLA.A8" "TOM20" NA 1
"HLA.B1" "TOM20" NA 1
"HLA.B2" "TOM20" NA 1
"HLA.B3" "TOM20" NA 1
"HLA.B4" "TOM20" NA 1
"HLA.B5" "TOM20" NA 1
"HLA.B6" "TOM20" NA 1
"HLA.C1" "TOM20" NA 1
"HLA.C2" "TOM20" NA 1
"HLA.C3" "TOM20" NA 1
"HLA.C4" "TOM20" NA 1
"HLA.C5" "TOM20" NA 1
"HLA.C6" "TOM20" NA 1
"HLA.C7" "TOM20" NA 1
"HLA.F1" "TOM20" NA 1
"HLA.F2" "TOM20" NA 1
"HLA.F3" "TOM20" NA 1
"HLA.F4" "TOM20" NA 1
"HLA.F5" "TOM20" NA 1
"HLA.F6" "TOM20" NA 1
"HLA.F7" "TOM20" NA 1
"B2M" "TOM20" NA 1
"STAT1" "TOM20" NA 1
"IHC.score" "TOM20" NA 1
