Source,Contributors,Variable,Value,Description,Meta,Level,CellTissue,TissueContext,Complex,IndividualLevelData,Entrez,CHEBI,MPO,MPOLabel,EFO,EFOLabel,VarWithinD,VarDvsCTRL,Relevance,Levels,Method,MethodRef,MethodDetails,PrivateNote,Note,DataSource,DataSourceLink
PMID30078552,Gonzalez-Duque et al. (2018),pan.MMr.MelanA,counts(x10-3) of Mmr+ cells/mm2 pancreas section area,MMr+ cells reactive for MelanA[26-35] antigen peptide (negative control) in pancreas,,cell,"CD8-positive, alpha-beta T cell",pancreas,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
PMID30078552,Gonzalez-Duque et al. (2018),PLN.MMr.IAPP,counts(x10-3) of Mmr+ cells/mm2 PLN section area,MMr+ cells reactive for IAPP[15-17/5-10] antigen peptide in pancreatic lymph node,,cell,"CD8-positive, alpha-beta T cell",pancreatic lymph node,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
PMID30078552,Gonzalez-Duque et al. (2018),PLN.MMr.ISL1,counts(x10-3) of Mmr+ cells/mm2 PLN section area,MMr+ cells reactive for ISL1[276–284] antigen peptide in pancreatic lymph node,,cell,"CD8-positive, alpha-beta T cell",pancreatic lymph node,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
PMID30078552,Gonzalez-Duque et al. (2018),PLN.MMr.UCN3,counts(x10-3) of Mmr+ cells/mm2 PLN section area,MMr+ cells reactive for UCN3[1-9] antigen peptide in pancreatic lymph node,,cell,"CD8-positive, alpha-beta T cell",pancreatic lymph node,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
PMID30078552,Gonzalez-Duque et al. (2018),PLN.MMr.ZnT8,counts(x10-3) of Mmr+ cells/mm2 PLN section area,MMr+ cells reactive for ZnT8[186-194] antigen peptide (positive control) in pancreatic lymph node,,cell,"CD8-positive, alpha-beta T cell",pancreatic lymph node,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
PMID30078552,Gonzalez-Duque et al. (2018),PLN.MMr.MelanA,counts(x10-3) of Mmr+ cells/mm2 PLN section area,MMr+ cells for MelanA[26-35] antigen peptide (negative control) in pancreatic lymph node,,cell,"CD8-positive, alpha-beta T cell",pancreatic lymph node,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
PMID29771178,Canzano et al. (2018),InsPos.CD3Neg.prct,%,Percent of islets that are Ins-positive and CD3-negative,Insulitis parameters,cell,islet of Langerhans,islet of Langerhans,0,Yes,,,MP:0004031,insulitis,,,,,,,immunostaining,Campbell-Thompson et al. (2016),,,Percent was calculated from original count data.,ESM Table 1(A). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),InsPos.CD3Pos.prct,%,Percent of islets that are Ins-positive and CD3-positive,Insulitis parameters,cell,T cell,islet of Langerhans,0,Yes,,,MP:0004031,insulitis,,,,,,,immunostaining,Campbell-Thompson et al. (2016),,,Percent was calculated from original count data.,ESM Table 1(A). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),InsNeg.CD3Neg.prct,%,Percent of islets that are Ins-negative and CD3-negative,Insulitis parameters,cell,islet of Langerhans,islet of Langerhans,0,Yes,,,MP:0004031,insulitis,,,,,,,immunostaining,Campbell-Thompson et al. (2016),,,Percent was calculated from original count data.,ESM Table 1(A). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),vessel.diameter.islet,(micrometer),Vessel diameter in islet,Vascular parameters,tissue,blood vessel,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Canzano et al. (2018),,,,ESM Table 1(A). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),vessel.density.islet,(10^4/micrometer^2),Vessel density in islet,Vascular parameters,tissue,blood vessel,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Canzano et al. (2018),,,,ESM Table 1(A). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),vessel.area.prct.islet,%,Vessel area as percent of islet,Vascular parameters,tissue,blood vessel,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Canzano et al. (2018),,,,ESM Table 1(A). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),SMA.area.prct.islet,%,Smooth muscle actin area as percent of islet,Vascular parameters,tissue,blood vessel,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Canzano et al. (2018),,,,ESM Table 1(A). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),SMA.area.prct.exocrine,%,Smooth muscle actin area as percent of exocrine tissue,Vascular parameters,tissue,blood vessel,exocrine pancreas,0,Yes,,,,,,,,,,,immunostaining,Canzano et al. (2018),,,,ESM Table 1(B). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),vessel.diameter.exocrine,(micrometer),Vessel diameter in exocrine tissue,Vascular parameters,tissue,blood vessel,exocrine pancreas,0,Yes,,,,,,,,,,,immunostaining,Canzano et al. (2018),,,,ESM Table 1(B). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),vessel.density.exocrine,(10^4/micrometer^2),Vessel density in exocrine tissue,Vascular parameters,tissue,blood vessel,exocrine pancreas,0,Yes,,,,,,,,,,,immunostaining,Canzano et al. (2018),,,,ESM Table 1(B). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29771178,Canzano et al. (2018),vessel.area.prct.exocrine,%,Vessel area as percent of exocrine tissue,Vascular parameters,tissue,blood vessel,exocrine pancreas,0,Yes,,,,,,,,,,,immunostaining,Canzano et al. (2018),,,,ESM Table 1(B). Type 1 diabetes donor islet and exocrine vessel parameters.,http://journals.sagepub.com/doi/suppl/10.1369/0022155418778546/suppl_file/DS_10.1369_0022155418778546.pdf
PMID29415062,Simeonovic et al. (2018),HS,mean % islet area stained,Expression of heparan sulfate,HSPG core proteins,protein,islet of Langerhans,islet of Langerhans,0,Yes,,CHEBI:28815,MP:0013258,abnormal extracellular matrix morphology,,,,1,Significantly higher in T1D,,immunostaining,Simeonovic et al. (2018),IHC image to % islet area stained was quantified using ImageJ.,,Mean % was manually calculated from multiple stains per case raw data available.,"S1 Table: Percentage of islet area stained for HS, HSPGs (Col18 and Sdc1), insulin and glucagon in normal healthy and T1D human pancreases.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802856/bin/pone.0191360.s006.xlsx
PMID29415062,Simeonovic et al. (2018),Col18,mean % islet area stained,Expression on collagen type XVIII,HSPG core proteins,protein,islet of Langerhans,islet of Langerhans,0,Yes,80781,,MP:0013258,abnormal extracellular matrix morphology,,,,1,Significantly higher in T1D,,immunostaining,Simeonovic et al. (2018),IHC image to % islet area stained was quantified using ImageJ.,,Mean % was manually calculated from multiple stains per case raw data available.,"S1 Table: Percentage of islet area stained for HS, HSPGs (Col18 and Sdc1), insulin and glucagon in normal healthy and T1D human pancreases.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802856/bin/pone.0191360.s006.xlsx
PMID29415062,Simeonovic et al. (2018),Sdc1,mean % islet area stained,Expression of syndecan-1,HSPG core proteins,protein,islet of Langerhans,islet of Langerhans,0,Yes,6382,,MP:0013258,abnormal extracellular matrix morphology,,,,1,Significantly higher in T1D,,immunostaining,Simeonovic et al. (2018),IHC image to % islet area stained was quantified using ImageJ.,,Mean % was manually calculated from multiple stains per case raw data available.,"S1 Table: Percentage of islet area stained for HS, HSPGs (Col18 and Sdc1), insulin and glucagon in normal healthy and T1D human pancreases.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802856/bin/pone.0191360.s006.xlsx
PMID29415062,Simeonovic et al. (2018),Ins,mean % islet area stained,Expression of insulin,Beta cell parameters,protein,islet of Langerhans,islet of Langerhans,0,Yes,,,MP:0020578,abnormal pancreatic beta cell number,,,,1,Significantly lower in T1D,,immunostaining,Simeonovic et al. (2018),IHC image to % islet area stained was quantified using ImageJ.,,Mean % was manually calculated from multiple stains per case raw data available.,"S1 Table: Percentage of islet area stained for HS, HSPGs (Col18 and Sdc1), insulin and glucagon in normal healthy and T1D human pancreases.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802856/bin/pone.0191360.s006.xlsx
PMID29415062,Simeonovic et al. (2018),Gcg,mean % islet area stained,Expression of glucagon,Alpha cell parameters,protein,islet of Langerhans,islet of Langerhans,0,Yes,,,MP:0020577,abnormal pancreatic alpha cell number,,,,1,Significantly higher in T1D,,immunostaining,Simeonovic et al. (2018),IHC image to % islet area stained was quantified using ImageJ.,,Mean % was manually calculated from multiple stains per case raw data available.,"S1 Table: Percentage of islet area stained for HS, HSPGs (Col18 and Sdc1), insulin and glucagon in normal healthy and T1D human pancreases.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802856/bin/pone.0191360.s006.xlsx
PMID29352311,Bonnet-Serrano et al. (2018),alpha.mass,g,Mass of alpha cells,Alpha cell parameters,cell,pancreatic A cell,islet of Langerhans,0,Pending authorization,,,MP:0030587,abnormal pancreatic alpha cell mass,,,,,,,immunostaining,Bonnet-Serrano et al. (2018),,,,,
PMID29352311,Bonnet-Serrano et al. (2018),beta.mass,g,Mass of beta cells,Beta cell parameters,cell,type B pancreatic cell,islet of Langerhans,0,Pending authorization,,,MP:0009112,abnormal pancreatic beta cell mass,,,,,,,immunostaining,Bonnet-Serrano et al. (2018),,,,,
PMID29326366 ,Lam et al. (2018),Ki67.Syn.prct,Ki67+Syn+ (% total Syn+),Synaptophysin cell proliferation; Syn+Ki67+ cells as % of total Syn+ cells,Neuroendocrine cell parameters,cell,neuroendocrine cell,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,Supplemental Table 7. Individual islet endocrine and α-cell proliferation from non-diabetic pancreata. & Supplemental Table 8. Individual islet endocrine and α-cell proliferation from T1D pancreta.,http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),Ki67.Gcg.prct,Ki67+alpha cells (% total alpha cells) ,Alpha cell proliferation; Ki67+alpha cells as % of total alpha cells,Alpha cell parameters,cell,pancreatic A cell,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,Supplemental Table 7. Individual islet endocrine and α-cell proliferation from non-diabetic pancreata. & Supplemental Table 8. Individual islet endocrine and α-cell proliferation from T1D pancreta.,http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),Ki67.Syn.intraislet.prct,Ki67+Syn+ (% total Ki67+),Synaptophysin cell proliferation; Syn+Ki67+ cells in as percent of total intraislet Ki67+ cells,Neuroendocrine cell parameters,cell,neuroendocrine cell,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,Supplemental Table 9. Individual synaptophysin cell proliferation expressed as % of intraislet Ki67+ cells in non-diabetic and T1D pancreata.,http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),alpha.cells,Alpha cells (per islet),Alpha cell abundance; number of alpha cells per islet,Alpha cell parameters,cell,pancreatic A cell,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,Supplemental Table 11. Average α-cell number per islet cross section of non-diabetic and T1D samples.,http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),Ki67.alpha.cells,Ki67+alpha-cells (per islet),Alpha cell proliferation; number of Ki67+ alpha cells per islet,Alpha cell parameters,cell,pancreatic A cell,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,Supplemental Table 11. Average α-cell number per islet cross section of non-diabetic and T1D samples.,http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),Ki67.alpha.cells.prct,Ki67+ alpha-cells (% total Ki67+),Alpha cell proliferation; Ki67+ alpha cell as percent of total intraislet Ki67+ cells,Alpha cell parameters,cell,pancreatic A cell,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,Supplemental Table 12. Individual α-cell proliferation expressed as % of intraislet Ki67+ cells in non-diabetic and T1D pancreata.,http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),Ki67.PP.prct,Ki67+PP+ cells (% total PP+),PP cell proliferation; Ki67+ PP cells as percent of total PP+ cells,,cell,progenitor cell of endocrine pancreas,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,"Supplemental Table 13. Individual PP, somatostatin, and ghrelin cell proliferation from non-diabetic and T1D pancreta.",http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),Ki67.Sst.prct,Ki67+Somatostatin+ cells (% total Sst+),Somatostatin cell proliferation; Ki67+ Sst+ cells as percent of total Sst+ cells,Somatostatin cell parameters,cell,pancreatic D cell,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,"Supplemental Table 13. Individual PP, somatostatin, and ghrelin cell proliferation from non-diabetic and T1D pancreta.",http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),Ki67.Grh.prct,Ki67+Ghrelin+ cells (% total Grh+),Ghrelin cell proliferation; Ki67+ Grh+ cells as percent of total Grh+ cells,,cell,pancreatic epsilon cell,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,"Supplemental Table 13. Individual PP, somatostatin, and ghrelin cell proliferation from non-diabetic and T1D pancreta.",http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),Ki67.Sox9.prct.1,Ki67+Sox9Cyt+ cells (% total Sox9Cyt+),Sox9 cell proliferation; Ki67+Sox9Cyt+ cells as % of total Sox9Cyt+ cells,,cell,islet of Langerhans,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,Supplemental Table 16. Individual cytoplasmic Sox9 cell proliferation from non-diabetic and T1D samples.,http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),Ki67.Sox9.prct.2,Ki67+ Sox9Cyt+ cells (% total intraislet Ki67+),Sox9 cell proliferation; Ki67+Sox9Cyt+ cells as % of total intraislet Ki67+ cells,,cell,islet of Langerhans,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,Supplemental Table 16. Individual cytoplasmic Sox9 cell proliferation from non-diabetic and T1D samples.,http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29326366 ,Lam et al. (2018),islet.mass,Islet endocrine mass (g),Islet endocrine mass,Islet parameters,cell,islet of Langerhans,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Lam et al. (2018),,,,Supplemental Table 23. Control and T1D Islet Cell Area & Mass.,http://diabetes.diabetesjournals.org/highwire/filestream/80633/field_highwire_adjunct_files/0/DB171114SupplementaryData.pdf
PMID29222447,Bogdani et al. (2017),Ki67.Ins.cells,% Ki67+/Ins+ cells,Beta-cell proliferation,Beta cell parameters,cell,type B pancreatic cell,islet of Langerhans,0,Contact authors,,,MP:0011818,abnormal pancreatic beta cell proliferation,,,,,,,immunostaining,Bogdani et al. (2014),,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5722914/figure/Fig3/
PMID29222447,Bogdani et al. (2017),CK19.Ins.cells,% CK19+/Ins+ cells,Beta-cell neogenesis,Beta cell parameters,cell,type B pancreatic cell,islet of Langerhans,0,Contact authors,,,MP:0011818,abnormal pancreatic beta cell proliferation,,,,,,,immunostaining,Bogdani et al. (2014),,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5722914/figure/Fig3/
PMID29222447,Bogdani et al. (2017),CF.grade,grade,Cystic fibrosis histopathologic grade based on staining,,cell,,,0,Contact authors,,,,,,,,,,,immunostaining,Klöppel and Maillet (1991),,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5722914/figure/Fig2/
PMID29222447,Bogdani et al. (2017),Ins,% Ins+ cells,Percent of insulin-positive cells in islet,,cell,type B pancreatic cell,islet of Langerhans,0,Contact authors,,,,,,,,,,,immunostaining,Bogdani et al. (2014),,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5722914/figure/Fig2/
PMID29222447,Bogdani et al. (2017),Synaptophysin,% Syn+ area stained,Relative pancreas synaptophysin area stained,Neuroendocrine cell parameters,protein,neuroendocrine cell,islet of Langerhans,0,Contact authors,,,,,,,,,,,immunostaining,Bogdani et al. (2014),,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5722914/figure/Fig2/
PMID29222447,Bogdani et al. (2017),CFTR.mut,Positive/Negative,Genotyping for 159 CFTR variants,,genotype,,,1,Contact authors,,,,,EFO:0000513,genotype,,,,,MALDI-TOF,Bogdani et al. (2014),,,,,
PMID29128936,Kusmartseva et al. (2017),hosp.bin,(level),"hospitalisation time, binned",clinical,clinical,,,0,Yes,,,,,,,,,,,,Kusmartseva et al. (2017),,,,,https://doi.org/10.5281/zenodo.1034422
PMID29128936,Kusmartseva et al. (2017),Ki67.cells.prct,%,Mean Ki67+ cells as percentage of total islet cells counted,,cell,islet of Langerhans,islet of Langerhans,0,Yes,,,MP:0005518,abnormal pancreas regeneration,,,,,,,immunostaining,Kusmartseva et al. (2017),,,,,https://doi.org/10.5281/zenodo.1034422
PMID29128936,Kusmartseva et al. (2017),Ki67.Ins.cells.prct,%,Mean Ki67+/Ins+ cells as percentage of total islet cells counted,,cell,islet of Langerhans,islet of Langerhans,0,Yes,,,MP:0011818,abnormal pancreatic beta cell proliferation,,,,,,,immunostaining,Kusmartseva et al. (2017),,,,,https://doi.org/10.5281/zenodo.1034422
PMID29128936,Kusmartseva et al. (2017),CD45.cells.prct,%,Mean CD45+ cells as percentage of total islet cells counted,Insulitis parameters,cell,leukocyte,islet of Langerhans,0,Yes,,,MP:0004031,insulitis,,,,,,,immunostaining,Kusmartseva et al. (2017),,,,,https://doi.org/10.5281/zenodo.1034422
PMID29128936,Kusmartseva et al. (2017),CD68.cells.prct,%,Mean CD68+ cells as percentage of total islet cells counted,,cell,macrophage,islet of Langerhans,0,Yes,,,,,,,,,,,immunostaining,Kusmartseva et al. (2017),,,,,https://doi.org/10.5281/zenodo.1034422
PMID28878130,Levet et al. (2017),Env03,% positive staining area,HERV-W-Env protein expression in pancreas as percent positive area of total pancreatic tissue area,Viral-related,protein,protein,pancreas,0,Pending authorization,,,,,,,1,1,,,immunostaining,Levet et al. (2017),HERV-W-Env expression was assessed on pancreas slices from controls (n = 19) and T1D (n = 20) stained using GN_mAb_Env03 and automatically quantified.,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5621895/figure/F1/
PMID28878130,Levet et al. (2017),CD3.cells.islet.prct,%,CD3+ cells as percent of total cells counted in islet,Insulitis parameters,cell,T cell,islet of Langerhans,0,Pending authorization,,,,,,,,,,,,Levet et al. (2017),,,,,
PMID28878130,Levet et al. (2017),CD3.cells.islet,count,Mean CD3+ cells in islet per mm^2,Insulitis parameters,cell,T cell,islet of Langerhans,0,Pending authorization,,,,,,,,,,,,Levet et al. (2017),,,,,
PMID28878130,Levet et al. (2017),CD68.cells.islet.prct,%,CD68+ cells as percent of total cells counted in islet,,cell,macrophage,islet of Langerhans,0,Pending authorization,,,,,,,,,,,,Levet et al. (2017),,,,,
PMID28878130,Levet et al. (2017),CD68.cells.islet,count,Mean CD68+ cells in islet per mm^2,,cell,macrophage,islet of Langerhans,0,Pending authorization,,,,,,,,,,,,Levet et al. (2017),,,,,
PMID28878130,Levet et al. (2017),CD3.cells.exocrine.prct,%,CD3+ cells as percent of total cells counted in exocrine pancreas,Insulitis parameters,cell,T cell,exocrine pancreas,0,Pending authorization,,,,,,,,,,,,Levet et al. (2017),,,,,
PMID28878130,Levet et al. (2017),CD3.cells.exocrine,count,Mean CD3+ cells in exocrine pancreas per mm^2,Insulitis parameters,cell,T cell,exocrine pancreas,0,Pending authorization,,,,,,,,,,,,Levet et al. (2017),,,,,
PMID28878130,Levet et al. (2017),CD68.cells.exocrine.prct,%,CD68+ cells as percent of total cells counted in exocrine pancreas,,cell,macrophage,exocrine pancreas,0,Pending authorization,,,,,,,,,,,,Levet et al. (2017),,,,,
PMID28878130,Levet et al. (2017),CD68.cells.exocrine,count,Mean CD68+ cells in exocrine pancreas per mm^2,,cell,macrophage,exocrine pancreas,0,Pending authorization,,,,,,,,,,,,Levet et al. (2017),,,,,
