Source	Contributor	VarID	Variable	Value	Description	ThemeTag	Level	CellTissue	CellTissueContext	DataItem	Complex	Dimensions	LinkedID	IndividualLevelData	InApp	MPTerm	GOTerm	EFOTerm	Relevance	Levels	MethodID	PrivateNote	PublicNote	DataSource	DataSourceLink
KaddisLab	Kaddis Lab	DQB1.1.type	DQB1.1.type	allele	DQA1 allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	DQB1.2.type	DQB1.2.type	allele	DQB1 allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	riskII.grp	riskII.grp	group	DR/DQ risk group – see methods	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genetic risk			KaddisLab_2				
KaddisLab	Kaddis Lab	riskII.score	riskII.score	risk score	DR/DQ risk – see methods	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genetic risk			KaddisLab_2				
KaddisLab	Kaddis Lab	riskII.cons.score	riskII.cons.score	risk score, conservative	DR/DQ risk – see methods	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genetic risk			KaddisLab_2				
KaddisLab	Kaddis Lab	riskA.score	riskA.score			genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genetic risk			KaddisLab_2				
KaddisLab	Kaddis Lab	riskB.score	riskB.score			genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genetic risk			KaddisLab_2				
KaddisLab	Kaddis Lab	riskC.score	riskC.score			genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genetic risk			KaddisLab_2				
KaddisLab	Kaddis Lab	riskI.score	riskI.score			genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genetic risk			KaddisLab_2				
KaddisLab	Kaddis Lab	riskAB.score	riskAB.score			genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genetic risk			KaddisLab_2				
nPODCore	*NPODCore – Auto-antibody Screening	GADA.pos	GADA.pos	[0,1]	Autoantibody-positive for GADA	autoantibodies	phenotype	NA	NA	measurement datum	0	1	T	T	T	autoimmune response		autoantibody measurement			CampbellThompson12_1		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	*NPODCore – Auto-antibody Screening	IA2A.pos	IA2A.pos	[0,1]	Autoantibody-positive for IA2A	autoantibodies	phenotype	NA	NA	measurement datum	0	1	T	T	T	autoimmune response		autoantibody measurement			CampbellThompson12_1		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	*NPODCore – Auto-antibody Screening	mIAA.pos	mIAA.pos	[0,1]	Autoantibody-positive for mIAA	autoantibodies	phenotype	NA	NA	measurement datum	0	1	T	T	T	autoimmune response		autoantibody measurement			CampbellThompson12_1		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	*NPODCore – Auto-antibody Screening	Znt8A.pos	Znt8A.pos	[0,1]	Autoantibody-positive for Znt8A	autoantibodies	phenotype	NA	NA	measurement datum	0	1	T	T	T	autoimmune response		autoantibody measurement			CampbellThompson12_1		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	*NPODCore – Auto-antibody Screening	AutoAb.count	AutoAb.count	count	Count of autoantibody types detected	autoantibodies	phenotype	NA	NA	measurement datum	0	1	T	T	T	autoimmune response		autoantibody measurement			CampbellThompson12_1		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	*NPODCore – Clinical Data	age	age	yrs	Age	clinical history	phenotype	NA	NA	age measurement datum	0	1	T	T	T			age			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	*NPODCore – Clinical Data	sex	sex		Sex	clinical history	phenotype	NA	NA	categorical measurement datum	0	1	T	T	T			sex			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	*NPODCore – Clinical Data	race	race		Race	clinical history	phenotype	NA	NA	categorical measurement datum	0	1	T	T	T			ethnic group			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	*NPODCore – Clinical Data	cause.death.cat	cause.death.cat		Cause of death	clinical history	other	NA	NA	diagnosis	0	1	T	T	T			clinical history			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	*NPODCore – Clinical Data	height	height	m	Height	clinical history	phenotype	NA	NA	length measurement datum 	0	1	T	T	T			body height			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	*NPODCore – Clinical Data	weight	weight	kg	Weight	clinical history	phenotype	NA	NA	mass measurement datum	0	1	T	T	T			body weight			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	*NPODCore – Clinical Data	BMI	BMI	kg/m2	Body Mass Index	clinical history	phenotype	NA	NA	mass measurement datum	0	1	T	T	T			body mass index			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	*NPODCore – Clinical Data	ABO.grp	ABO.grp		ABO blood group	clinical history	phenotype	NA	NA	categorical measurement datum	0	1	T	T	T			clinical history			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	*NPODCore – Clinical Data	db.duration	db.duration	yrs	Diabetes duration	clinical history	other	NA	NA	length measurement datum 	0	1	T	T	T			clinical history			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	*NPODCore – Clinical Data	age.onset	age.onset	yrs	Age at disease onset	clinical history	phenotype	NA	NA	age measurement datum	0	1	T	T	T			age at onset			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	*NPODCore – Clinical Data	Cpeptide	Cpeptide	ng/ml	C-peptide	clinical history	phenotype	NA	NA	measurement datum	0	1	T	T	T	abnormal insulin secretion		C-peptide measurement			CampbellThompson12_3		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	*NPODCore – Clinical Data	HbA1c	HbA1c	%	HbA1c	clinical history	phenotype	NA	NA	measurement datum	0	1	T	T	T	abnormal circulating glucose level		A1C measurement			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	*NPODCore – Clinical Data	peak.gluc	peak.gluc	mg/dl	Peak glucose	clinical history	phenotype	NA	NA	measurement datum	0	1	T	T	T	abnormal glucose homeostasis		glucose measurement			CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	*NPODCore – Clinical Data	donor.type	donor.type		Donor type	clinical history	phenotype	NA	NA	diagnosis	0	1	T	T	T						CampbellThompson12_4		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	*NPODCore – Histopathology	Ins.score	Ins.score		Insulin score extracted from histopathologic assessment of stained tissue	general	phenotype	pancreas	pancreas	measurement datum	0	1	T	T	T	abnormal pancreatic beta cell number		insulin measurement			CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	amyloid.score	amyloid.score		Amyloid score extracted from histopathologic assessment of stained tissue	general	phenotype	pancreas	pancreas	measurement datum	0	1	T	T	T	amyloidosis		amyloid deposition measurement			CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	dysplasia.score	dysplasia.score		Dysplasia score extracted from histopathologic assessment of stained tissue	general	phenotype	pancreas	pancreas	measurement datum	0	1	T	T	T	abnormal pancreas morphology		morphologic finding			CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	metaplasia.score	metaplasia.score		Metaplasia score extracted from histopathologic assessment of stained tissue	general	phenotype	pancreas	pancreas	measurement datum	0	1	T	T	T	pancreatic acinar-to-ductal metaplasia		morphologic finding			CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	pancreatitis.score	pancreatitis.score		Pancreatitis score extracted from histopathologic assessment of stained tissue	general	phenotype	pancreas	pancreas	measurement datum	0	1	T	T	T	pancreas inflammation		morphologic finding			CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	atrophy.score	atrophy.score		Atrophy score extracted from histopathologic assessment of stained tissue	general	phenotype	pancreas	pancreas	measurement datum	0	1	T	T	T	exocrine pancreas atrophy		morphologic finding 			CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	fibrosis.score	fibrosis.score		Fibrosis score extracted from histopathologic assessment of stained tissue	general	phenotype	pancreas	pancreas	measurement datum	0	1	T	T	T	pancreas fibrosis		morphologic finding 			CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	CD3.score	CD3.score		CD3 score extracted from histopathologic assessment of stained tissue	general	phenotype	pancreas	pancreas	measurement datum	0	1	T	T	T	insulitis					CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	Ki67.score	Ki67.score		Ki67 score extracted from histopathologic assessment of stained tissue	general	phenotype	pancreas	pancreas	measurement datum	0	1	T	T	T	abnormal pancreas regeneration					CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	islet.freq	islet.freq		Islet frequency score extracted from histopathologic assessment of stained tissue	general	phenotype	islet of Langerhans	pancreas	measurement datum	0	1	T	T	T	abnormal pancreatic islet number		morphologic finding 			CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	*NPODCore – Histopathology	islet.size	islet.size		Islet size score extracted from histopathologic assessment of stained tissue	general	phenotype	islet of Langerhans	pancreas	measurement datum	0	1	T	T	T	abnormal pancreatic islet size		morphologic finding 			CampbellThompson12_2		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
PMID20062967	Gianani et al. (2010)	Gianani10_Ins.pos	Ins.pos	[0,1]	Insulin+ islets observed	general	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	T	T	abnormal pancreatic beta cell number			VarWithinD & VarDvsCtrl		Gianani10_1			Table 1: Demographic information and characteristics as shown in the 20 childhood-onset diabetic patients analysed.	https://link.springer.com/article/10.1007%2Fs00125-009-1642-y#Tab1
PMID20062967	Gianani et al. (2010)	Gianani10_HLA.pos	HLA.pos	[0,1]	Class I HLA+ expression observed	HLA hyperexpression	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	T	T	abnormal antigen presentation via MHC class I			VarWithinD & VarDvsCtrl		Gianani10_1			Table 1: Demographic information and characteristics as shown in the 20 childhood-onset diabetic patients analysed.	https://link.springer.com/article/10.1007%2Fs00125-009-1642-y#Tab1
PMID20062967	Gianani et al. (2010)	Gianani10_Survivin.pos	Survivin.pos	[0,1]	Survivin+ beta expression observed	NA	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	T	T				VarWithinD & VarDvsCtrl		Gianani10_1			Table 1: Demographic information and characteristics as shown in the 20 childhood-onset diabetic patients analysed.	https://link.springer.com/article/10.1007%2Fs00125-009-1642-y#Tab1
PMID22210319	Sarkar et al. (2012)	Sarkar12_CCL5	CCL5	NA	Expression assessed through IHC	NA	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F	abnormal cytokine level		CCL5 measurement	VarDvsCtrl		Sarkar12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F6/
PMID22210319	Sarkar et al. (2012)	Sarkar12_CCL8	CCL8	NA	Expression assessed through IHC	NA	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F	abnormal cytokine level		cytokine measurement	VarDvsCtrl		Sarkar12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F6/
PMID22210319	Sarkar et al. (2012)	Sarkar12_CXCL9	CXCL9	NA	Expression assessed through IHC	NA	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F	abnormal cytokine level		cytokine measurement	VarDvsCtrl		Sarkar12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F6/
PMID22210319	Sarkar et al. (2012)	Sarkar12_CX3CL1	CX3CL1	NA	Expression assessed through IHC	NA	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F	abnormal cytokine level		cytokine measurement	VarDvsCtrl		Sarkar12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F6/
PMID22210319	Sarkar et al. (2012)	Sarkar12_CXCL10	CXCL10	NA	Expression assessed through IHC	NA	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F	abnormal cytokine level		cytokine measurement	VarDvsCtrl		Sarkar12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F7/
PMID22213807	Coppieters et al. (2012)	Coppieters12_Ins.score	Ins.score	[Normal,Decreased,Negative]	Insulin expression, category	NA	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	T	T	degranulated pancreatic beta cells			VarDvsCtrl	insulin: ++, normal numbers of insulin-sufficient islets, in excess of 50 per section; +, decreased numbers (<50; average insulin + islet size reduced);  -, negative	Coppieters12_1			Table S1: Insulin, CD8, and HLA Class I expression patterns within pancreatic islets from diabetic individuals and controls	http://jem.rupress.org/highwire/filestream/102893/field_highwire_adjunct_files/0/JEM_20111187_sm.pdf
PMID22213807	Coppieters et al. (2012)	Coppieters12_MHCI.score	MHCI.score	[Negative,Positive]	MHC Class I expression, category	HLA hyperexpression	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	T	T	abnormal antigen presentation via MHC class I			No VarDvsCtrl 	MHC I: -, negative, based on nondiabetic controls, normal expression approximates three positive nonendocrine cells; +, positive.	Coppieters12_1			Table S1: Insulin, CD8, and HLA Class I expression patterns within pancreatic islets from diabetic individuals and controls	http://jem.rupress.org/highwire/filestream/102893/field_highwire_adjunct_files/0/JEM_20111187_sm.pdf
PMID22213807	Coppieters et al. (2012)	Coppieters12_CD8.score	CD8.score	[Normal,High]	Islet CD8 expression, category	autoimmunity	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	T	T	insulitis			No VarDvsCtrl 	Islet CD8: normal, less than five per islet; +, accumulation of more than five cells per islet	Coppieters12_1			Table S1: Insulin, CD8, and HLA Class I expression patterns within pancreatic islets from diabetic individuals and controls	http://jem.rupress.org/highwire/filestream/102893/field_highwire_adjunct_files/0/JEM_20111187_sm.pdf
PMID22699564	Marhfour et al. (2012)	Marhfour12_CHOP	CHOP		CHOP immunostaining intensity	Endoplasmic Reticulum stress	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F						Marhfour12_1				https://media.springernature.com/original/springer-static/image/art%3A10.1007%2Fs00125-012-2604-3/MediaObjects/125_2012_2604_Fig2_HTML.gif
PMID22699564	Marhfour et al. (2012)	Marhfour12_BIP	BIP		BIP immunostaining intensity	Endoplasmic Reticulum stress	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F						Marhfour12_1				https://media.springernature.com/original/springer-static/image/art%3A10.1007%2Fs00125-012-2604-3/MediaObjects/125_2012_2604_Fig2_HTML.gif
PMID22699564	Marhfour et al. (2012)	Marhfour12_XBP1	XBP1		XBP-1 immunostaining intensity	Endoplasmic Reticulum stress	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F						Marhfour12_1				https://media.springernature.com/original/springer-static/image/art%3A10.1007%2Fs00125-012-2604-3/MediaObjects/125_2012_2604_Fig2_HTML.gif
PMID22745242	Gregg et al. (2012)	Gregg12_islet.diameter	islet.diameter	micrometer (uM)	Average islet diameter	general	tissue	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F	abnormal pancreatic islet size					Gregg12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/bin/supp_jc.2012-1206_12-1206_supp_data.pdf
PMID22745242	Gregg et al. (2012)	Gregg12_beta2alpha	beta2alpha	ratio	Beta cell to alpha cell ratio	neogenesis/transdifferentiation/dedifferentiation	cell	type B pancreatic cell|pancreatic A cell	islet of Langerhans	measurement datum	0	1	T	NA	F						Gregg12_2				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F1/
PMID22745242	Gregg et al. (2012)	Gregg12_beta2delta	beta2delta	ratio	Beta cell to delta cell ratio	neogenesis/transdifferentiation/dedifferentiation	cell	type B pancreatic cell|pancreatic ductal cell	islet of Langerhans	measurement datum	0	1	T	NA	F						Gregg12_2				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F2/
PMID22745242	Gregg et al. (2012)	Gregg12_prox.neurons	prox.neurons	micrometer (uM)	Distance of a Tuj1-positive neuron from an islet cluster	neogenesis/transdifferentiation/dedifferentiation	cell	peripheral nervous system neuron	islet of Langerhans	measurement datum	0	1	T	NA	F						Gregg12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F3/
PMID22745242	Gregg et al. (2012)	Gregg12_CK19.Ins.duct	CK19.Ins.duct	% Ins+/CK-19+ cells and insulin+ cells associated in pancreatic ducts	Beta cell neogenesis from ductal cells reported as percentage insulin+/CK-19+ cells and insulin+ cells associated in pancreatic ducts	neogenesis/transdifferentiation/dedifferentiation	cell	type B pancreatic cell	islet of Langerhans	measurement datum	0	1	T	NA	F						Gregg12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F4/
PMID22745242	Gregg et al. (2012)	Gregg12_Ki67.Ins	Ki67.Ins	% Ins+ cells	Beta cell proliferation measured as insulin+/Ki67+ cells as a percentage of all insulin-positive cells in each section	neogenesis/transdifferentiation/dedifferentiation	cell	type B pancreatic cell	islet of Langerhans	measurement datum	0	1	T	NA	F						Gregg12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F5/
PMID22745242	Gregg et al. (2012)	Gregg12_CK19.Ins	CK19.Ins	% CK-19+ cells	Ductal cell proliferation measured as CK-19+/Ki67+ cells as a percentage of all CK-19-positive cells in each section	neogenesis/transdifferentiation/dedifferentiation	cell	pancreatic ductal cell	islet of Langerhans	measurement datum	0	1	T	NA	F						Gregg12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F6/
PMID22923498	Yip et al. (2012)	Yip12_EIF4G3	EIF4G3	expression relative to housekeeping gene (beta-actin) x10E-6	EIF4G3 mRNA expression	cross-disease connections	transcript	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F				VarDvsCtrl		Yip12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3604916/figure/MJS052F2/
PMID22923498	Yip et al. (2012)	Yip12_EIF4G1	EIF4G1	expression relative to housekeeping gene (GAPDH) x10E-3	EIF4G1 mRNA expression	cross-disease connections	transcript	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	NA	F				No VarWithinD & No VarDvsCtrl		Yip12_1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3604916/figure/MJS052F2/
PMID23064357	Richardson et al. (2012)	Richardson12_VP1	VP1	Count	Enterovirus VP1 expression as # Insulin-containing islets (ICIs) with multiple VP1+ cells	viral	protein	islet of Langerhans	islet of Langerhans	measurement datum	0	1	T	T	T	increased susceptibility to virus induced diabetes			VarWithinD & VarDvsCtrl		Richardson12_1			Table 1: nPOD type 1 diabetes patients and non-diabetic controls.	https://link.springer.com/article/10.1007%2Fs00125-012-2745-4#Tab1
