Source	Contributors	VarID	Variable	Value	Description	Tags	Level	CellTissue	TissueContext	DataTerm	Complex	Dimensions	LinkedID	IndividualLevelData	InApp	Entrez	MPTerm	GOTerm	EFOTerm	VarWithinD	VarDvsCtrl	Relevance	Levels	MethodID	PrivateNote	PublicNote	DataSource	DataSourceLink
nPODCore	NPODCore – Clinical Data	ethnic.grp	ethnic.grp		Race	demographic	phenotype	NA	NA	categorical measurement datum	0	1	yes	yes	yes				ethnic group					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	NPODCore – Clinical Data	cause.death.cat	cause.death.cat		Cause of death	clinical	other	NA	NA	categorical measurement datum	0	1	yes	yes	yes				clinical history					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	NPODCore – Clinical Data	height	height	m	Height	clinical	phenotype	NA	NA		0	1	yes	yes	yes				body height					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	NPODCore – Clinical Data	weight	weight	kg	Weight	clinical	phenotype	NA	NA		0	1	yes	yes	yes				body weight					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	NPODCore – Clinical Data	BMI	BMI	kg/m2	Body Mass Index	clinical	phenotype	NA	NA		0	1	yes	yes	yes				body mass index					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	NPODCore – Clinical Data	ABO.grp	ABO.grp		ABO blood group	clinical	phenotype	NA	NA		0	1	yes	yes	yes				clinical history					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	NPODCore – Clinical Data	db.duration	db.duration	yrs	Diabetes duration	clinical	other	NA	NA		0	1	yes	yes	yes				clinical history					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	NPODCore – Clinical Data	age.onset	age.onset	yrs	Age at disease onset	clinical	phenotype	NA	NA		0	1	yes	yes	yes				age at onset					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	NPODCore – Clinical Data	Cpeptide	Cpeptide	ng/ml	C-peptide	clinical	phenotype	NA	NA		0	1	yes	yes	yes		abnormal insulin secretion		C-peptide measurement					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	NPODCore – Clinical Data	HbA1c	HbA1c	%	HbA1c	clinical	phenotype	NA	NA		0	1	yes	yes	yes		abnormal circulating glucose level		A1C measurement					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	NPODCore – Clinical Data	peak.gluc	peak.gluc	mg/dl	Peak glucose	clinical	phenotype	NA	NA		0	1	yes	yes	yes		abnormal glucose homeostasis		glucose measurement					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	NPODCore – Clinical Data	donor.type	donor.type		Donor type	clinical	phenotype	NA	NA		0	1	yes	yes	yes									nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Diabetes Info	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5008
nPODCore	NPODCore – Histopathology	Ins	Ins		Insulin score extracted from histopathologic assessment of stained tissue		phenotype	pancreas	pancreas		0	1	yes	yes	yes		abnormal pancreatic beta cell number		insulin measurement					nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	amyloid	amyloid		Amyloid score extracted from histopathologic assessment of stained tissue		phenotype	pancreas	pancreas		0	1	yes	yes	yes		amyloidosis		amyloid deposition measurement					nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	dysplasia	dysplasia		Dysplasia score extracted from histopathologic assessment of stained tissue		phenotype	pancreas	pancreas		0	1	yes	yes	yes		abnormal pancreas morphology		morphologic finding					nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	metaplasia	metaplasia		Metaplasia score extracted from histopathologic assessment of stained tissue		phenotype	pancreas	pancreas		0	1	yes	yes	yes		pancreatic acinar-to-ductal metaplasia		morphologic finding					nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	pancreatitis	pancreatitis		Pancreatitis score extracted from histopathologic assessment of stained tissue		phenotype	pancreas	pancreas		0	1	yes	yes	yes		pancreas inflammation		morphologic finding					nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	atrophy	atrophy		Atrophy score extracted from histopathologic assessment of stained tissue		phenotype	pancreas	pancreas		0	1	yes	yes	yes		exocrine pancreas atrophy		morphologic finding 					nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	fibrosis	fibrosis		Fibrosis score extracted from histopathologic assessment of stained tissue		phenotype	pancreas	pancreas		0	1	yes	yes	yes		pancreas fibrosis		morphologic finding 					nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	CD3	CD3		CD3 score extracted from histopathologic assessment of stained tissue		phenotype	pancreas	pancreas		0	1	yes	yes	yes		insulitis							nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	Ki67	Ki67		Ki67 score extracted from histopathologic assessment of stained tissue		phenotype	pancreas	pancreas		0	1	yes	yes	yes		abnormal pancreas regeneration							nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	islet.freq	islet.freq		Islet frequency score extracted from histopathologic assessment of stained tissue		phenotype	islet of Langerhans	pancreas		0	1	yes	yes	yes		abnormal pancreatic islet number		morphologic finding 					nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
nPODCore	NPODCore – Histopathology	islet.size	islet.size		Islet size score extracted from histopathologic assessment of stained tissue		phenotype	islet of Langerhans	pancreas		0	1	yes	yes	yes		abnormal pancreatic islet size		morphologic finding 					nPODCore		An investigator account is required for accessing data. This is a derived feature, i.e. extracted from text reports.	nPOD DataShare / Histopathology	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5011
PMID20062967	Gianani et al. (2010)	Gianani10_Ins.pos	Ins.pos	[0,1]	Insulin+ islets observed		protein	islet of Langerhans	islet of Langerhans		0	1	yes	yes	yes		abnormal pancreatic beta cell number			1	1			Gianani et al. (2010)			Table 1: Demographic information and characteristics as shown in the 20 childhood-onset diabetic patients analysed.	https://link.springer.com/article/10.1007%2Fs00125-009-1642-y#Tab1
PMID20062967	Gianani et al. (2010)	Gianani10_HLA.pos	HLA.pos	[0,1]	Class I HLA+ expression observed	HLA	protein	islet of Langerhans	islet of Langerhans		0	1	yes	yes	yes		abnormal antigen presentation via MHC class I			1	1			Gianani et al. (2010)			Table 1: Demographic information and characteristics as shown in the 20 childhood-onset diabetic patients analysed.	https://link.springer.com/article/10.1007%2Fs00125-009-1642-y#Tab1
PMID20062967	Gianani et al. (2010)	Gianani10_Survivin.pos	Survivin.pos	[0,1]	Survivin+ beta expression observed		protein	islet of Langerhans	islet of Langerhans		0	1	yes	yes	yes	332				1	1			Gianani et al. (2010)			Table 1: Demographic information and characteristics as shown in the 20 childhood-onset diabetic patients analysed.	https://link.springer.com/article/10.1007%2Fs00125-009-1642-y#Tab1
PMID22210319	Sarkar et al. (2012)	Sarkar12_CCL5	CCL5	NA	Expression assessed through IHC		protein	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no		abnormal cytokine level		CCL5 measurement		1			Sarkar et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F6/
PMID22210319	Sarkar et al. (2012)	Sarkar12_CCL8	CCL8	NA	Expression assessed through IHC		protein	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no		abnormal cytokine level		cytokine measurement		1			Sarkar et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F6/
PMID22210319	Sarkar et al. (2012)	Sarkar12_CXCL9	CXCL9	NA	Expression assessed through IHC		protein	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no		abnormal cytokine level		cytokine measurement		1			Sarkar et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F6/
PMID22210319	Sarkar et al. (2012)	Sarkar12_CX3CL1	CX3CL1	NA	Expression assessed through IHC		protein	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no		abnormal cytokine level		cytokine measurement		1			Sarkar et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F6/
PMID22210319	Sarkar et al. (2012)	Sarkar12_CXCL10	CXCL10	NA	Expression assessed through IHC		protein	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no		abnormal cytokine level		cytokine measurement		1			Sarkar et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266427/figure/F7/
PMID22213807	Coppieters et al. (2012)	Coppieters12_Ins.score	Ins.score	[Normal,Decreased,Negative]	Insulin expression, category		protein	islet of Langerhans	islet of Langerhans		0	1	yes	yes	yes		degranulated pancreatic beta cells			1	1		insulin: ++, normal numbers of insulin-sufficient islets, in excess of 50 per section; +, decreased numbers (<50; average insulin + islet size reduced);  -, negative	Coppieters et al. (2012)			Table S1: Insulin, CD8, and HLA Class I expression patterns within pancreatic islets from diabetic individuals and controls	http://jem.rupress.org/highwire/filestream/102893/field_highwire_adjunct_files/0/JEM_20111187_sm.pdf
PMID22213807	Coppieters et al. (2012)	Coppieters12_MHCI.score	MHCI.score	[Negative,Positive]	MHC Class I expression, category		protein	islet of Langerhans	islet of Langerhans		0	1	yes	yes	yes		abnormal antigen presentation via MHC class I			0	0		MHC I: -, negative, based on nondiabetic controls, normal expression approximates three positive nonendocrine cells; +, positive.	Coppieters et al. (2012)			Table S1: Insulin, CD8, and HLA Class I expression patterns within pancreatic islets from diabetic individuals and controls	http://jem.rupress.org/highwire/filestream/102893/field_highwire_adjunct_files/0/JEM_20111187_sm.pdf
PMID22213807	Coppieters et al. (2012)	Coppieters12_CD8.score	CD8.score	[Normal,High]	Islet CD8 expression, category		protein	islet of Langerhans	islet of Langerhans		0	1	yes	yes	yes		insulitis			0	0		Islet CD8: normal, less than five per islet; +, accumulation of more than five cells per islet	Coppieters et al. (2012)			Table S1: Insulin, CD8, and HLA Class I expression patterns within pancreatic islets from diabetic individuals and controls	http://jem.rupress.org/highwire/filestream/102893/field_highwire_adjunct_files/0/JEM_20111187_sm.pdf
PMID22699564	Marhfour et al. (2012)	Marhfour12_CHOP	CHOP		CHOP immunostaining intensity	ER	protein	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no									Marhfour et al. (2012)				https://media.springernature.com/original/springer-static/image/art%3A10.1007%2Fs00125-012-2604-3/MediaObjects/125_2012_2604_Fig2_HTML.gif
PMID22699564	Marhfour et al. (2012)	Marhfour12_BIP	BIP		BIP immunostaining intensity	ER	protein	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no									Marhfour et al. (2012)				https://media.springernature.com/original/springer-static/image/art%3A10.1007%2Fs00125-012-2604-3/MediaObjects/125_2012_2604_Fig2_HTML.gif
PMID22699564	Marhfour et al. (2012)	Marhfour12_XBP1	XBP1		XBP-1 immunostaining intensity	ER	protein	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no									Marhfour et al. (2012)				https://media.springernature.com/original/springer-static/image/art%3A10.1007%2Fs00125-012-2604-3/MediaObjects/125_2012_2604_Fig2_HTML.gif
PMID22745242	Gregg et al. (2012)	Gregg12_islet.diameter	islet.diameter	micrometer (uM)	Average islet diameter		tissue	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no		abnormal pancreatic islet size							Gregg et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/bin/supp_jc.2012-1206_12-1206_supp_data.pdf
PMID22745242	Gregg et al. (2012)	Gregg12_beta2alpha	beta2alpha	ratio	Beta cell to alpha cell ratio		cell	type B pancreatic cell|pancreatic A cell	islet of Langerhans		0	1	yes	NA	no									Gregg et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F1/
PMID22745242	Gregg et al. (2012)	Gregg12_beta2delta	beta2delta	ratio	Beta cell to delta cell ratio		cell	type B pancreatic cell|pancreatic ductal cell	islet of Langerhans		0	1	yes	NA	no									Gregg et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F2/
PMID22745242	Gregg et al. (2012)	Gregg12_prox.neurons	prox.neurons	micrometer (uM)	Distance of a Tuj1-positive neuron from an islet cluster		cell	peripheral nervous system neuron	islet of Langerhans		0	1	yes	NA	no									Gregg et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F3/
PMID22745242	Gregg et al. (2012)	Gregg12_CK19.Ins.duct	CK19.Ins.duct	% Ins+/CK-19+ cells and insulin+ cells associated in pancreatic ducts	Beta cell neogenesis from ductal cells reported as percentage insulin+/CK-19+ cells and insulin+ cells associated in pancreatic ducts		cell	type B pancreatic cell	islet of Langerhans		0	1	yes	NA	no									Gregg et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F4/
PMID22745242	Gregg et al. (2012)	Gregg12_Ki67.Ins	Ki67.Ins	% Ins+ cells	Beta cell proliferation measured as insulin+/Ki67+ cells as a percentage of all insulin-positive cells in each section		cell	type B pancreatic cell	islet of Langerhans		0	1	yes	NA	no									Gregg et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F5/
PMID22745242	Gregg et al. (2012)	Gregg12_CK19.Ins	CK19.Ins	% CK-19+ cells	Ductal cell proliferation measured as CK-19+/Ki67+ cells as a percentage of all CK-19-positive cells in each section		cell	pancreatic ductal cell	islet of Langerhans		0	1	yes	NA	no									Gregg et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431572/figure/F6/
PMID22923498	Yip et al. (2012)	Yip12_EIF4G3	EIF4G3	expression relative to housekeeping gene (beta-actin) x10E-6	EIF4G3 mRNA expression		transcript	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no					0	1			Yip et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3604916/figure/MJS052F2/
PMID22923498	Yip et al. (2012)	Yip12_EIF4G1	EIF4G1	expression relative to housekeeping gene (GAPDH) x10E-3	EIF4G1 mRNA expression		transcript	islet of Langerhans	islet of Langerhans		0	1	yes	NA	no					0	0			Yip et al. (2012)				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3604916/figure/MJS052F2/
PMID23064357	Richardson et al. (2012)	Richardson12_VP1	VP1	Count	Enterovirus VP1 expression as # Insulin-containing islets (ICIs) with multiple VP1+ cells	viral-related	protein	islet of Langerhans	islet of Langerhans		0	1	yes	yes	yes		increased susceptibility to virus induced diabetes			1	1			Richardson et al. (2012)			Table 1: nPOD type 1 diabetes patients and non-diabetic controls.	https://link.springer.com/article/10.1007%2Fs00125-012-2745-4#Tab1
PMID23064357	Richardson et al. (2012)	Richardson12_ICI	ICI	Count	Count of insulin-containing islets		cell	islet of Langerhans	islet of Langerhans		0	1	yes	yes	yes		abnormal pancreatic beta cell number							Richardson et al. (2012)			Table 1: nPOD type 1 diabetes patients and non-diabetic controls.	https://link.springer.com/article/10.1007%2Fs00125-012-2745-4#Tab1
PMID23064357	Richardson et al. (2012)	Richardson12_VP1.ICI	VP1.ICI	%	Enterovirus VP1 expression as percent of insulin-containing islets with multiple VP1+ cells (VP1/ICI)	viral-related	tissue	islet of Langerhans	islet of Langerhans		0	1	yes	yes	yes		increased susceptibility to virus induced diabetes							Richardson et al. (2012)		This is a derived feature. See VP1 and ICI.	Table 1: nPOD type 1 diabetes patients and non-diabetic controls.	https://link.springer.com/article/10.1007%2Fs00125-012-2745-4#Tab1
PMID23139348	Korpos et al. (2012)	Korpos12_BM.pos	BM.pos	[0,1]	Normal/intact extracellular matrix (ECM) composition based on staining for basement membrane (BM) components; pan-laminin, collagen, perlecan, agrin, nidogen1/2		tissue	pancreas	pancreas		0	1	yes	yes	yes		abnormal basement membrane morphology			1	1		1 = intact; 0 = no staining in some areas	Korpos et al. (2012)			Supplementary Table 2: Summary of analyzed nPOD samples.	http://diabetes.diabetesjournals.org/highwire/filestream/72250/field_highwire_adjunct_files/0/DB120432SupplementaryData.pdf
PMID23139348	Korpos et al. (2012)	Korpos12_IM.pos	IM.pos	[0,1]	Normal/intact extracellular matrix (ECM) composition based on staining for interstitial matrix (IM) components; collagen, fibronectin, tenascin-C, matrillin, fibrillin		tissue	pancreas	pancreas		0	1	yes	yes	yes		abnormal extracellular matrix morphology			0	0		1 = intact; 0 = no staining in some areas	Korpos et al. (2012)			Supplementary Table 2: Summary of analyzed nPOD samples.	http://diabetes.diabetesjournals.org/highwire/filestream/72250/field_highwire_adjunct_files/0/DB120432SupplementaryData.pdf
PMID23904478	Chen et al. (2013)	Chen13_IL15	IL15	normalized expression	Expression of IL-15 mRNA reported as normalized counts to three housekeeping genes		transcript	islet of Langerhans	islet of Langerhans		0	1	yes	no	no					0	1			Chen et al. (2013)		Individual-level data is not available.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3746870/figure/fig06/
PMID23904478	Chen et al. (2013)	Chen13_IL15Ra	IL15Ra	normalized expression	Expression of IL-15Ralpha reported as normalized counts to three housekeeping genes		transcript	islet of Langerhans	islet of Langerhans		0	1	yes	no	no					0	1			Chen et al. (2013)		Individual-level data is not available.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3746870/figure/fig06/
